Strateji,Net CAGR (%),Brüt Sharpe,Net Sharpe,Sortino (Net),Max DD (%),30-Dk Kazanma (%),Günlük Kazanma (%),Ort. Günlük Turnover (%),Net Toplam Getiri (%)
Periodicity (K=5),-98.09078037293045,3.2428915753654146,-4.167173828205842,-5.6571042250036445,-99.99999738103693,34.872862286228624,12.871287128712872,5130.657065706571,-99.99999736514017
Periodicity (K=10),-97.99285458424366,3.6040034455242904,-4.1429010662941606,-5.611000664740159,-99.99999644958379,35.21699819168174,13.5623869801085,5129.981916817361,-99.99999645017354
Short-Term Reversal,-98.6643078395964,0.7911086264729245,-3.8412959848928816,-5.172401327526714,-99.99999950245684,36.4939792775133,12.992831541218639,5102.5448028673845,-99.99999949878776
Composite (K=5 + Rev),-98.39539239708765,1.9463435181828797,-3.8962845150385697,-5.228279699460558,-99.99999877656181,36.56615661566157,12.69126912691269,5138.289828982899,-99.99999877550925
Composite (K=10 + Rev),-98.29676316619367,2.2889835946867856,-3.891860792705373,-5.302119731613864,-99.9999982669033,36.74841772151899,12.839059674502712,5134.792043399639,-99.99999827311794
Benchmark (Eşit Ağırlık),-3.1628082917749656,-0.13435196974651314,-0.13435196974651314,-0.17580220891802767,-52.29753325086284,50.75345918996135,49.73118279569893,0.0,-13.26305250970805
