Strateji Yöntemi,Net CAGR (%),Brüt Sharpe,Net Sharpe,Sortino (Net),Max DD (%),Ort. Günlük Turnover (%),Net Toplam Getiri (%)
Test A1: Sadece 17:30 Barı (K=10),-74.61550989543211,18.913761088935278,-4.317164260668967,-6.534584856121293,-53.54297490874483,399.8191681735986,-52.84939072004935
Test A2: Sadece 10:00 Barı (K=10),-94.14368199191019,-0.042638129504535334,-2.652479463537065,-3.4889413568950793,-79.7166603999057,400.0,-78.91832126424596
"Test A3: Çift Bar (10:00 + 17:30, K=10)",-91.59075833549592,4.973365198891041,-2.8353734691829726,-3.606681777518903,-87.33615479326751,729.7649186256782,-86.96339588318615
Test B1: 1/5 Overlapping (5 Gün Taşıma),1.1776751680830033,0.44521203253236424,0.07617299207095932,0.1020320184022911,-26.399302830638753,62.055805580558065,5.296950048271221
Test B2: 1/10 Overlapping (10 Gün Taşıma),8.540985192576223,0.827719814145135,0.6123819497932764,0.8104533405092775,-19.309644515915224,30.82820976491863,43.28747397031971
