interval_idx,mean,std,count,sharpe,strategy
1,-0.0012258027779112183,0.007810028275178043,1116,-2.4915423036861846,Periodicity (K=5)
2,-0.0011181946988308975,0.004590128471822959,1116,-3.86716638798004,Periodicity (K=5)
3,-0.0007715309226443768,0.004134022498658005,1116,-2.9626528894449087,Periodicity (K=5)
4,-0.000968881008222207,0.0033455328642549506,1116,-4.597327185438411,Periodicity (K=5)
5,-0.0010553936866608082,0.0030968505603044647,1116,-5.409965723171869,Periodicity (K=5)
6,-0.0011166127167665425,0.002507990577396841,1116,-7.067681001583803,Periodicity (K=5)
7,-0.0009590609722221298,0.0026184547377966485,1116,-5.814353300869561,Periodicity (K=5)
8,-0.0009483624650646271,0.002415813526110084,1116,-6.23176716627469,Periodicity (K=5)
9,-0.001066319671760676,0.003119772891726068,1116,-5.42581162312854,Periodicity (K=5)
10,-0.0010493353217205744,0.002792707370919849,1116,-5.964707220164257,Periodicity (K=5)
11,-0.0010822529311466374,0.0027784156351264126,1116,-6.183463860376169,Periodicity (K=5)
12,-0.0011244714561256524,0.0029424098127079678,1116,-6.066602584963092,Periodicity (K=5)
13,-0.0008237708346208754,0.0029780616184745265,1116,-4.391096716456868,Periodicity (K=5)
14,-0.0009235899753926215,0.003266789928161885,1116,-4.488056058730538,Periodicity (K=5)
15,-0.0009604250532405614,0.0032979138046267255,1116,-4.623005926156587,Periodicity (K=5)
16,-0.0004438546111084832,0.003922342343652289,1116,-1.7963688271567706,Periodicity (K=5)
1,-0.0011513313880508705,0.007865801839116893,1116,-2.323579915977696,Periodicity (K=10)
2,-0.0011291012856660893,0.004743519294732693,1116,-3.7786137522741274,Periodicity (K=10)
3,-0.0007513742444712599,0.004129534051771488,1116,-2.8883879403641846,Periodicity (K=10)
4,-0.0009559252523057305,0.0032742647850035507,1116,-4.6345802596381525,Periodicity (K=10)
5,-0.0010251226237013118,0.003053303871590827,1116,-5.329740451113245,Periodicity (K=10)
6,-0.0011934364984386198,0.0025865431100763497,1116,-7.324531730669144,Periodicity (K=10)
7,-0.0009409268131321482,0.0026499733147914155,1116,-5.636566230078038,Periodicity (K=10)
8,-0.0009699387588411489,0.0024447127103023564,1116,-6.298204444330675,Periodicity (K=10)
9,-0.0010023689229603052,0.003106312128777101,1116,-5.1225094880661874,Periodicity (K=10)
10,-0.0010158602217340495,0.0028362647365211403,1116,-5.685746070674375,Periodicity (K=10)
11,-0.0010088339391771167,0.002796606261898303,1116,-5.726491612900579,Periodicity (K=10)
12,-0.0011487523305219762,0.0029334906646801494,1116,-6.216443136146973,Periodicity (K=10)
13,-0.0008289984730451288,0.0029287180807916874,1116,-4.493413984735868,Periodicity (K=10)
14,-0.0009081054411327963,0.003150086165492197,1116,-4.5762960793548535,Periodicity (K=10)
15,-0.0009532918832402662,0.003403477097556766,1116,-4.446346799373049,Periodicity (K=10)
16,-0.00038740435020596177,0.0037976104517298704,1116,-1.6194008003153515,Periodicity (K=10)
1,-5.863111730697924e-05,0.007504098696415509,1116,-0.12403090238529518,Short-Term Reversal
2,-0.0012163927055945406,0.005090939852152907,1116,-3.7929412121046986,Short-Term Reversal
3,-0.0013200768891333706,0.004766278082488589,1116,-4.396632046664528,Short-Term Reversal
