Strateji,Net CAGR (%),Brüt Sharpe,Net Sharpe,Sortino (Net),Calmar Oranı,Max DD (%),Günlük Kazanma (%),Profit Factor,Ort. Günlük Turnover (%),Net Toplam Getiri (%)
Test A1 (0.0 BPS (Brüt)),1720.004531033063,70.99269674245957,70.99269674245957,104.96114213493426,369.2762195554861,-4.657772258131075,58.22784810126582,1.6657058703620446,200.0,121.63833486019553
Test A1 (2.0 BPS (10 binde 2)),-14.9075458115285,18.913761088935278,-0.862532790863581,-1.297832715865926,-0.750943959147078,-19.851742103978687,47.920433996383366,0.9449504497240225,399.8191681735986,-8.471817423461669
Test A1 (3.5 BPS (10 binde 3.5)),-74.61550989543211,18.913761088935278,-4.317164260668967,-6.534584856121293,-1.3935630215280703,-53.54297490874483,41.41048824593128,0.6193968458678066,399.8191681735986,-52.84939072004935
Test B2 (0.0 BPS (Brüt)),11.535680270707903,0.8278237937914706,0.8278237937914706,1.1004312915535077,0.6172169840022664,-18.68982962183935,53.43580470162749,1.138219960073282,30.712477396021697,61.44893807843881
Test B2 (2.0 BPS (10 binde 2)),9.81329079106974,0.827719814145135,0.7039158558456448,0.933341596917298,0.5153378664367914,-19.042440756240033,53.25497287522604,1.1174664326739385,30.82820976491863,50.80640373834115
Test B2 (3.5 BPS (10 binde 3.5)),8.540985192576223,0.827719814145135,0.6123819497932764,0.8104533405092775,0.4423170600337385,-19.309644515915224,52.98372513562387,1.1021434640089545,30.82820976491863,43.28747397031971
