Dönem,Lag,γ̄,t-stat,N
Dönem 2 (2023H2-2024),22.0,0.006700440371662128,1.8618259236292107,5664.0
Dönem 2 (2023H2-2024),23.0,0.0042770908435720125,1.2336439961809778,5648.0
Dönem 2 (2023H2-2024),24.0,0.002296428887558559,0.6092776568534832,5632.0
Dönem 2 (2023H2-2024),25.0,-0.000402729415338165,-0.11075434742125644,5616.0
Dönem 2 (2023H2-2024),26.0,0.003762037809412159,0.9978254277117085,5600.0
Dönem 2 (2023H2-2024),27.0,0.009434300791933612,2.565529335418435,5584.0
Dönem 2 (2023H2-2024),28.0,0.001480014920219512,0.42273121376727296,5568.0
Dönem 2 (2023H2-2024),29.0,0.006078684128677943,1.6463610625087943,5552.0
Dönem 2 (2023H2-2024),30.0,0.002853292598597772,0.8265393990826412,5536.0
Dönem 2 (2023H2-2024),31.0,-0.000774503340116295,-0.2211624137732648,5520.0
Dönem 2 (2023H2-2024),32.0,0.009951262841613615,2.796122784806016,5504.0
Dönem 2 (2023H2-2024),33.0,0.0049613969401078725,1.4356263039624109,5488.0
Dönem 2 (2023H2-2024),34.0,-0.001571854128481438,-0.4398956934233882,5472.0
Dönem 2 (2023H2-2024),35.0,0.0015425735782684349,0.42082470796154725,5456.0
Dönem 2 (2023H2-2024),36.0,0.0002264242059500135,0.06114287312274124,5440.0
Dönem 2 (2023H2-2024),37.0,-0.00011482900818552048,-0.03236444871586508,5424.0
Dönem 2 (2023H2-2024),38.0,0.003731876427720957,0.9757886090588916,5408.0
Dönem 2 (2023H2-2024),39.0,0.002701406027528857,0.7328831767478359,5392.0
Dönem 2 (2023H2-2024),40.0,0.007343069668966254,2.0087072781170985,5376.0
Dönem 3 (2025-2026),1.0,0.012678490062828297,3.411285040420541,6144.0
Dönem 3 (2025-2026),2.0,0.01120711972083469,3.081304604676345,6128.0
Dönem 3 (2025-2026),3.0,0.004225168079453686,1.1788017920511398,6112.0
Dönem 3 (2025-2026),4.0,0.0074793525736792975,1.9263978219421827,6096.0
Dönem 3 (2025-2026),5.0,0.007665263695614918,1.9856104497178155,6080.0
Dönem 3 (2025-2026),6.0,0.009329377131840117,2.5245813573022535,6064.0
Dönem 3 (2025-2026),7.0,0.002723337672736912,0.7234980528574227,6048.0
Dönem 3 (2025-2026),8.0,0.0026588085487962744,0.7226540888369088,6032.0
Dönem 3 (2025-2026),9.0,0.006844828880241128,1.8543019433203847,6016.0
Dönem 3 (2025-2026),10.0,0.0035466933019517627,0.9385654364176136,6000.0
Dönem 3 (2025-2026),11.0,0.006190725367420313,1.7246256299534455,5984.0
Dönem 3 (2025-2026),12.0,0.004172675923955051,1.1086635603008597,5968.0
Dönem 3 (2025-2026),13.0,0.0028315290449717158,0.7788337087350897,5952.0
Dönem 3 (2025-2026),14.0,0.01111583080640403,3.1133558658199982,5936.0
Dönem 3 (2025-2026),15.0,0.0015135700345362435,0.39313572042842526,5920.0
Dönem 3 (2025-2026),16.0,0.0028007166252196525,0.7773676351801613,5904.0
Dönem 3 (2025-2026),17.0,-7.107755297743287e-05,-0.020019655022736997,5888.0
Dönem 3 (2025-2026),18.0,0.0024635627838475306,0.6519901988146902,5872.0
Dönem 3 (2025-2026),19.0,0.0034170060819409226,0.8881925223486467,5856.0
Dönem 3 (2025-2026),20.0,0.002788624528745375,0.7477661127923394,5840.0
Dönem 3 (2025-2026),21.0,-0.0032053824489889572,-0.8480675592709016,5824.0
Dönem 3 (2025-2026),22.0,0.002516910558156815,0.6551102640944766,5808.0
Dönem 3 (2025-2026),23.0,0.006934573353943794,1.9008749628295873,5792.0
Dönem 3 (2025-2026),24.0,-0.0030985622427247453,-0.8406583345207455,5776.0
Dönem 3 (2025-2026),25.0,-0.0020452382805205933,-0.5395651353772762,5760.0
Dönem 3 (2025-2026),26.0,-9.10066746178858e-05,-0.024103762429104086,5744.0
Dönem 3 (2025-2026),27.0,0.005919267821589481,1.5511037071776184,5728.0
Dönem 3 (2025-2026),28.0,0.0035559822090150987,0.903367005099629,5712.0
Dönem 3 (2025-2026),29.0,-0.0010389904495492648,-0.26248786615879555,5696.0
Dönem 3 (2025-2026),30.0,-0.004984622195750479,-1.3301087623958356,5680.0
Dönem 3 (2025-2026),31.0,0.004591932922974131,1.1472505636386816,5664.0
Dönem 3 (2025-2026),32.0,-0.007694411580501056,-1.9721769680331032,5648.0
Dönem 3 (2025-2026),33.0,0.007972886794161395,2.1087902634013096,5632.0
Dönem 3 (2025-2026),34.0,0.00023146930919239103,0.059785377003016275,5616.0
Dönem 3 (2025-2026),35.0,-0.0030376498838502707,-0.7954907026679574,5600.0
Dönem 3 (2025-2026),36.0,0.0031771876765874516,0.8184193233130655,5584.0
Dönem 3 (2025-2026),37.0,0.00281732983250651,0.7219557459821117,5568.0
Dönem 3 (2025-2026),38.0,-0.0009204390537614427,-0.24102585306557728,5552.0
Dönem 3 (2025-2026),39.0,0.007456754930504779,1.9247455952337293,5536.0
Dönem 3 (2025-2026),40.0,-0.0008543203941943783,-0.22272058734454414,5520.0
