Zaman,Getiri Türü,γ̄,t-stat (NW),N
10:00,OC,0.003683153858594114,0.3560827091373825,1134
10:30,OC,0.004368313625265483,0.519442995842101,1138
11:00,OC,0.02005307200350292,2.125602308742122,1138
11:30,OC,0.01723810696872094,1.9988328518255114,1138
12:00,OC,0.013229056170303512,1.5185814407697105,1138
12:30,OC,-0.0015229750958935181,-0.17887811486252214,1138
13:00,OC,0.009489751043841227,1.0351049737064524,1128
13:30,OC,0.014646524828453598,1.71307405659293,1128
14:00,OC,0.0013266081050662447,0.13522765813865928,1128
14:30,OC,0.006783734723247681,0.7343843325985306,1128
15:00,OC,-0.007613176163828015,-0.8301472045047247,1128
15:30,OC,-0.0044612997344908225,-0.5120149359644685,1128
16:00,OC,-0.0014719023003816783,-0.14956745693899073,1128
16:30,OC,0.007464930374363823,0.7960749193718997,1128
17:00,OC,0.017223999061257607,1.925374245701431,1127
17:30,OC,0.03873140373055718,4.198638904122628,1123
10:00,CC,0.048011632459466096,3.642089020642611,1137
10:30,CC,0.0010206578768619764,0.11810022800686275,1138
11:00,CC,0.019186809369107626,2.0518397242727318,1138
11:30,CC,0.01849804704088406,2.168495601544249,1138
12:00,CC,0.015048050438558492,1.720370301210169,1138
12:30,CC,-0.0009003088368559339,-0.10779453694646438,1138
13:00,CC,0.009223657097084247,0.9888891559951908,1128
13:30,CC,0.014665358975593762,1.717932953692318,1128
14:00,CC,0.0009141272612473077,0.09086109599559195,1128
14:30,CC,0.008823691729638702,0.9702046212057698,1128
15:00,CC,-0.009369157369787176,-1.0495820778446263,1128
15:30,CC,-0.004098840918434027,-0.48212881348585074,1128
16:00,CC,-0.003853814814832383,-0.4092827095772064,1128
16:30,CC,0.007038598221266857,0.7521080377494997,1128
17:00,CC,0.03836156855615794,1.7708499486860518,1128
17:30,CC,0.037327086284264434,4.515210098209793,1123
