Strateji Yöntemi,Net CAGR (%),Brüt Sharpe,Net Sharpe,Sortino (Net),Max DD (%),Kazanma Oranı (%),Ort. Günlük Turnover (%),Net Toplam Getiri (%)
Gece Taşıma K=5 (3.5 BPS),-46.5778336329893,-1.440364322163436,-2.7979683624131217,-3.9570832667381635,-94.24842988546203,38.288288288288285,400.0,-93.68056842469521
Gece Taşıma K=10 (3.5 BPS),-46.989835763436986,-1.5088194915195587,-2.8862960073144452,-4.033958572991846,-94.57899377011697,38.46153846153847,400.0,-93.81504209761286
Gece Taşıma K=5 (2.0 BPS),-37.85777184480622,-1.440364322163436,-2.2741471560884174,-3.2323371485011605,-89.96305403805403,41.08108108108108,400.0,-87.69963098069881
Gece Taşıma K=10 (2.0 BPS),-38.337024786643404,-1.5088194915195587,-2.3548071572555407,-3.308294356215672,-90.73650460875226,41.35746606334841,400.0,-87.9974371308164
