interval_idx,Zaman,N,Ortalama,Std,Min,Max,Skewness,Kurtosis
1,10:00,31452,0.0005938496135303617,0.010710904568957456,-0.10819337874213045,0.18001911259268358,0.3312104000008699,7.7105100930926955
2,10:30,31452,0.0002633600116111361,0.007283870727918287,-0.08719654503015513,0.08140084994395946,0.73450393782492,8.202974856113242
3,11:00,31452,1.6859278665290952e-05,0.00666230309436068,-0.09971201052448173,0.05711707700675748,0.4636874242387632,10.634051195967354
4,11:30,31452,4.5254092966555445e-05,0.005347643292018446,-0.051770019972906506,0.05502869377068798,0.7203144660684373,7.020026241335124
5,12:00,31452,-2.4261257155323467e-05,0.004755362953073053,-0.08534588432355823,0.13725391697294836,1.559058780138553,34.646612069664044
6,12:30,31452,-2.492074214834991e-05,0.004287122159930537,-0.051293286139309696,0.06972896977008111,0.715554378090549,12.421732286294642
7,13:00,31452,8.247080173934836e-06,0.004224581033582931,-0.04051425486557222,0.05614653287641352,0.49173511369206785,12.589103490152684
8,13:30,31452,-0.0001350248867084889,0.004280395970766875,-0.07824772033345365,0.055255754787532675,0.19701076587089678,12.153360195125341
9,14:00,31452,1.883207098662308e-05,0.005229180053227352,-0.07773696535618058,0.08160554098161489,1.763706961928977,25.38226453286667
10,14:30,31452,-6.03900687983177e-05,0.004811661488554182,-0.048650509117183376,0.07385579714292882,0.46161599994209324,10.918546288122057
11,15:00,31452,-1.417057848130976e-05,0.004961017936949243,-0.06990988209683296,0.05544491102179524,0.19265781143933527,10.643364973267257
12,15:30,31452,-0.00021871831459259678,0.005480395147113954,-0.07131190515835044,0.0551320706947163,-0.1911339951299829,14.306452421491096
13,16:00,31452,0.0002021028490059676,0.005217407149952665,-0.048790164169431945,0.053552918597999113,0.36822788184721156,6.140366709403379
14,16:30,31452,3.8200374591332555e-05,0.005946065922881673,-0.06962214412577679,0.07004218952656911,0.5698478151997184,6.92675667269312
15,17:00,31452,-0.000461175092419736,0.006334599436118864,-0.06495097731994967,0.10752034371125642,0.1567398386254666,8.615472191070989
16,17:30,31452,-0.00041129931546156015,0.00695215422082136,-0.08447230457532515,0.12883287184296838,0.318850206833589,11.953192036630064
