Lag,Interval,Zaman,γ̄,t-stat,N
1,1,10:00,0.00665237191407731,0.6875093290644364,1123
1,2,10:30,0.00386412600556679,0.4570542581201791,1123
1,3,11:00,0.020928861933526048,2.22483118829245,1123
1,4,11:30,0.017034352177428037,1.9581677252585594,1123
1,5,12:00,0.01014250256549381,1.1534893074023753,1123
1,6,12:30,-0.0018384103225395137,-0.21477010881395495,1123
1,7,13:00,0.010221873683461648,1.117954151495603,1123
1,8,13:30,0.01595026663044946,1.8364051663376073,1123
1,9,14:00,-0.003993394082876876,-0.4219251406553243,1123
1,10,14:30,0.008450103562734155,0.9012943061587354,1123
1,11,15:00,-0.00831159148820638,-0.9010418113291871,1123
1,12,15:30,-0.004312072226462445,-0.4937248951284552,1123
1,13,16:00,0.002762364737212199,0.29522823382844265,1123
1,14,16:30,0.006800493332723926,0.7295351694663076,1123
1,15,17:00,0.01774028592261375,1.952710596964589,1123
1,16,17:30,0.035370608355978245,4.342037431073243,1123
2,1,10:00,-0.013039837525157355,-1.4962595377474104,1122
2,2,10:30,0.003304008681791694,0.36381350445290583,1122
2,3,11:00,0.0161605138488979,1.839794725490522,1122
2,4,11:30,0.0037681856721377667,0.478839225366148,1122
2,5,12:00,0.0037010208015794887,0.4117438937476628,1122
2,6,12:30,-0.0008820280517939817,-0.09785074526422169,1122
2,7,13:00,0.0007459794629642296,0.08826850013504411,1122
2,8,13:30,-0.003528792472537871,-0.45030813280430676,1122
2,9,14:00,0.010018274506108902,0.9549068604471351,1122
2,10,14:30,-0.0025428841047782794,-0.2963560934694598,1122
2,11,15:00,0.008531027509835365,0.9556778839658163,1122
2,12,15:30,0.009709973841988035,1.1244212996625897,1122
2,13,16:00,0.021276371855983568,2.4966606143984422,1122
2,14,16:30,0.00528826089671815,0.5583049091588694,1122
2,15,17:00,-0.00012554183937888395,-0.014847382690384306,1122
2,16,17:30,0.03132554627610346,3.6856829608687445,1122
3,1,10:00,0.0005592173908541122,0.06055830275249466,1121
3,2,10:30,0.00014922534509251872,0.015632114174176166,1121
3,3,11:00,-0.004932647577787101,-0.5020908117499044,1121
3,4,11:30,0.002441880675283458,0.3205581936494638,1121
3,5,12:00,0.012753749903683142,1.2739975415979181,1121
3,6,12:30,-0.00968809550032791,-1.1909236020024458,1121
3,7,13:00,0.0013607226923262876,0.15592319318998607,1121
3,8,13:30,0.0016763242275849863,0.2045112545123334,1121
3,9,14:00,-0.011988462996282033,-1.2847730202418128,1121
3,10,14:30,0.014101751761525942,1.6729005388023253,1121
3,11,15:00,0.014578549080407201,1.7017593209512363,1121
3,12,15:30,0.0004840041961464614,0.055135826623690404,1121
3,13,16:00,0.009303969244474106,1.0729393314767397,1121
3,14,16:30,0.024375592362561864,2.2596659856398413,1121
3,15,17:00,-0.0002452506914514602,-0.027569791005224796,1121
3,16,17:30,0.011520981469843558,1.4233850004500415,1121
4,1,10:00,0.011427470588762163,1.410879433822554,1120
4,2,10:30,0.008649737865059508,1.0571977030045097,1120
4,3,11:00,-0.004427070671650514,-0.45994476152993596,1120
4,4,11:30,0.002565573162616987,0.3032543944847749,1120
4,5,12:00,-0.0027220487067395947,-0.2962067105846072,1120
4,6,12:30,-0.001456830217034022,-0.1550847852750497,1120
4,7,13:00,0.014868726762509698,1.7347008747722816,1120
4,8,13:30,-0.000746758483812997,-0.08567697002549761,1120
4,9,14:00,0.0003876940357135785,0.04677152608826968,1120
4,10,14:30,0.0011452995134379807,0.13224958274134815,1120
4,11,15:00,-0.007147808696922815,-0.8522609082675667,1120
4,12,15:30,0.020584086816201965,2.259733103282975,1120
4,13,16:00,0.016788960237313796,1.8342674530616634,1120
4,14,16:30,0.018823306017808517,2.295159992854409,1120
4,15,17:00,0.015703492867908283,1.8750998102845682,1120
4,16,17:30,0.012360861404254558,1.479873348398323,1120
5,1,10:00,0.013926457999797005,1.6490834668035808,1119
5,2,10:30,-0.003295143440533859,-0.41953044143456397,1119
5,3,11:00,0.006223873042761419,0.7273550764718494,1119
5,4,11:30,0.01621477674704097,2.076437075743033,1119
5,5,12:00,-0.01703006198573505,-1.890471614724117,1119
5,6,12:30,-0.010310691361576536,-1.2444473416916237,1119
5,7,13:00,-0.008306091200487094,-0.9965003924139211,1119
5,8,13:30,0.007035458425549589,0.9732451578320849,1119
5,9,14:00,0.005844875417062139,0.6150632853514536,1119
5,10,14:30,0.012284796616117028,1.4375824958048067,1119
5,11,15:00,0.009074814678379794,0.6770363284832857,1119
5,12,15:30,0.004769264548776551,0.42865253509298623,1119
5,13,16:00,0.00014378816961485054,0.016494904294085753,1119
5,14,16:30,0.017016978820554935,1.2230935282173545,1119
5,15,17:00,0.015887533132055345,2.1040854049501405,1119
5,16,17:30,0.030698436323329043,3.7500810427668907,1119
6,1,10:00,0.006184166440033902,0.6666674646739129,1118
6,2,10:30,0.01626352730240029,1.8515581785557467,1118
6,3,11:00,0.012620996575774725,1.4328491486160606,1118
6,4,11:30,0.0032605178198499025,0.3573322626396535,1118
6,5,12:00,0.0012576534382092125,0.1423487256018187,1118
6,6,12:30,-0.012081585834954606,-1.4788376608019842,1118
6,7,13:00,0.00945857056230978,1.1037724552411614,1118
6,8,13:30,0.024100721972814168,2.9335367868114823,1118
6,9,14:00,0.004042008057074819,0.4373833225749461,1118
6,10,14:30,-0.0002852775303393442,-0.029261609719020722,1118
6,11,15:00,-0.004079232317829768,-0.5181473666056028,1118
6,12,15:30,0.006168895856338321,0.735413850907564,1118
6,13,16:00,0.005464345225851877,0.6589277716439389,1118
6,14,16:30,0.0020247473775580004,0.26459291873358604,1118
6,15,17:00,0.02023382996843181,2.245201525429908,1118
6,16,17:30,0.027838957721692516,3.093108631650181,1118
