Strateji Yöntemi,Net CAGR (%),Brüt Sharpe,Net Sharpe,Sortino (Net),Max DD (%),Ort. Günlük Turnover (%),Net Toplam Getiri (%)
Test A1: Sadece 17:30 Barı (K=5),-23.40024294800652,16.01469304684027,-1.3181945087275355,-2.0311600685632536,-21.005573889035496,399.81998199819986,-13.656939204516705
Test A1: Sadece 17:30 Barı (K=10),-14.9075458115285,18.913761088935278,-0.862532790863581,-1.297832715865926,-19.851742103978687,399.8191681735986,-8.471817423461669
"Test B1: 1/5 Overlapping (K=5, 5 Gün Taşıma)",3.579200841218899,0.44521203253236424,0.23170785144199732,0.3114685554572413,-24.563556174786715,62.055805580558065,16.769330469473687
"Test B2: 1/10 Overlapping (K=10, 10 Gün Taşıma)",9.81329079106974,0.827719814145135,0.7039158558456448,0.933341596917298,-19.042440756240033,30.82820976491863,50.80640373834115
