Strateji,Net CAGR (%),Brüt Sharpe,Net Sharpe,Sortino (Net),Calmar Oranı,Max DD (%),Günlük Kazanma (%),Profit Factor,Ort. Günlük Turnover (%),Net Toplam Getiri (%)
Test A1 (1x1),-37.63074219138628,23.933178169977484,-0.9491494694617791,-1.440900109408787,-0.8975149311447175,-41.92770603090793,46.0573476702509,0.9279501481449608,396.23655913978496,-22.80850886330741
Test B2 (5x5),8.540985192576223,0.827719814145135,0.6123819497932764,0.8104533405092775,0.4423170600337385,-19.309644515915224,52.508960573476706,1.1021434640089545,30.551971326164875,43.28747397031971
Test B2 (1x1),25.100317243147185,1.163810779418878,0.9973605215709804,1.2822569671951707,0.9064876536208948,-27.689640496355256,52.77777777777778,1.1592077018449483,36.899641577060926,167.1974061598744
