Interval_Lag_k,γ̄_OC,t_stat_OC,N,γ̄_CC,t_stat_CC
1,8.293410116216907e-05,0.03057769173348778,18113,-0.014056138213842861,-5.000278759016103
2,0.006811135822588405,2.691794476652817,18112,0.010605427743378186,2.994336617976168
3,0.003007816613403644,1.1480868773285922,18111,0.0035496004649177913,1.2043890832443453
4,0.0008276774211975897,0.31014674169329554,18110,0.0006826178690811995,0.21689522542541795
5,0.008842078972264937,3.383256276076503,18109,0.01072820269145933,3.2132248483433994
6,0.006432450738839464,2.449844299480412,18108,0.008221471131716352,2.8960350985434484
7,0.00493590173059439,1.847999699686256,18107,0.004884250496836741,1.7032186727758767
8,0.006945375368757954,2.6131330623945077,18106,0.007471179716937985,2.4580125912638726
9,0.005353900873142159,2.1004686062224596,18105,0.006885622645036007,2.4671529905901224
10,0.0036045100458390418,1.3174262829297512,18104,0.004025638521780889,1.3044468765226245
11,0.0070080896462156265,2.61990753166246,18103,0.009241282624539852,3.117481557130598
12,0.004663973301835254,1.8061155291736142,18102,0.0021884531142428595,0.653403980183041
13,0.00017957920952109703,0.07185000549749272,18101,0.0010792227381559065,0.40049185516186697
14,0.0026022196585717464,1.1090101196679003,18100,0.006738199020054319,2.31297130547576
15,0.007533443228708378,3.218838491818594,18099,0.010429542750588177,4.4228756142900565
16,0.008693106718651514,3.9118635308386835,18098,0.012499060993327246,5.363017397856637
17,0.0029581606724225643,1.1568092385971862,18097,0.0008833522792943763,0.3356014804418112
18,0.0004125971947922374,0.17181471753336253,18096,-0.0015812065082742917,-0.5950464267535166
19,-0.0017390013325622432,-0.6903968018995603,18095,-0.006908045893563343,-1.6146719434162
20,-0.001352580894932417,-0.48788354542542456,18094,-0.0014024349176407882,-0.479587435180059
21,-0.0008497661140093954,-0.32299259575849876,18093,-0.0010119033219486019,-0.36566563942085656
22,0.00331453513063929,1.1919307354175033,18092,0.003745011963944867,1.258178501991302
23,0.0003885341096756136,0.15189345361669748,18091,0.0007471414094214411,0.2540874055624464
24,0.0016294626693268105,0.6203277041308042,18090,0.0010074740122643876,0.34334124687523754
25,3.5988494547764236e-06,0.0012522562617118618,18089,-0.0005818525373905962,-0.19226731502444677
26,0.001568572517398287,0.5895527476180273,18088,0.0022196002231069964,0.7585565397196037
