Lag,γ̄,t-stat (NW),t-stat (simple),SE (NW),N_regressions
1,0.008591421418823759,3.865399197864171,3.8954343752448763,0.002222647902335923,17968
2,0.005856879960028887,2.670080270942856,2.6785707190818275,0.002193522053912151,17952
3,0.004153219473995947,1.8416004885280202,1.896072633076497,0.0022552228346309736,17936
4,0.006675293280964193,3.0963124006941944,3.1256222863092558,0.0021558849421872256,17920
5,0.006261191620794133,2.6787826859063992,2.6521775301682093,0.0023373271948245334,17904
6,0.007654552664700975,3.5384695818104346,3.574020571736626,0.0021632382270712,17888
7,0.002432049640617738,1.1302806104144894,1.1271184387833708,0.0021517219867426304,17872
8,0.005855116228149321,2.6895425892615745,2.7078878337963603,0.00217699331162362,17856
9,0.0035529232881935254,1.677481543662313,1.659111329269613,0.0021180103600047418,17840
10,0.005803962892154229,2.6237351771444337,2.701396298610227,0.0022120993546578226,17824
11,0.0030788793555429424,1.4558931348194726,1.4418449345073585,0.0021147701585423825,17808
12,0.0005852661776429947,0.2640995982148085,0.254283041789048,0.00221608128751094,17792
13,0.0015207634886072823,0.7378143168660384,0.7318464019399914,0.002061173731443599,17776
14,0.0074782966101252435,3.407881606947153,3.4765884250602292,0.002194412093096288,17760
15,0.0027624420726792857,1.2640477800689225,1.2675319456997285,0.002185393713937509,17744
16,0.002968593322325367,1.3743633273658877,1.3591798064145137,0.0021599771059192838,17728
17,-0.0007630732877414304,-0.3634286405590423,-0.35642309209952094,0.0020996509426654893,17712
18,0.004213733811915772,1.961843952976577,1.9446877586776303,0.0021478435150372437,17696
19,0.0034446927477950104,1.5726704204896742,1.601533594188674,0.0021903462435075584,17680
20,0.0018007515200981785,0.8138327118618084,0.8305569229708737,0.0022126801907219875,17664
21,-0.0006996990814282581,-0.3213037540663812,-0.3243622088167745,0.002177687227655923,17648
22,0.00486844330352555,2.209872224882383,2.2503247126273536,0.002203042894837354,17632
23,0.006290405527865054,2.887352722340102,2.866676329145709,0.0021786065412773307,17616
24,0.001268663547833553,0.5922175877128308,0.5851525588535591,0.0021422253816087847,17600
25,0.0016437345294640585,0.7437088396682379,0.7564780922824765,0.0022101855481471947,17584
26,0.001712053941179486,0.7874400924857898,0.7875899317126401,0.002174202148857923,17568
27,0.005248787656698551,2.378633311995544,2.3906161591476933,0.002206640103049387,17552
28,0.0030578577712514353,1.388841453279535,1.4020643011867266,0.0022017327924874187,17536
29,0.004708163257993972,2.1307251490130232,2.157926466493274,0.0022096530189146396,17520
30,-0.000729374519371802,-0.34133169681740133,-0.3387129736270168,0.0021368496573055972,17504
31,0.0034871721700278514,1.5876741415673796,1.5974516466322248,0.0021964029511655674,17488
32,0.003298949927543021,1.4913197432655965,1.5039013214284036,0.0022121010215550366,17472
33,0.005446594991540218,2.5732628765437973,2.5277783296874734,0.0021166104097594773,17456
34,0.002655951969251856,1.2104677483719142,1.2360630998717728,0.002194153435995404,17440
35,0.0002393238399173543,0.11031228087241086,0.11007372533737089,0.002169512206842686,17424
36,0.004017200868144892,1.8274935803015004,1.8379687262289053,0.0021982024514045806,17408
37,0.005069578533202368,2.333248409978455,2.3732702242194414,0.0021727555932414327,17392
38,0.0016921360818528267,0.7791553866015346,0.7805981220296744,0.0021717568933630393,17376
39,0.003104569629051803,1.4026350544982231,1.4427511811005749,0.0022133837444711715,17360
40,0.0043387050435094955,2.0226769726952476,2.0331841147030234,0.0021450311157337723,17344
